"Title","Field1_Link","Year","Duration","Genre","Rating","Description","Director","Field5_Link","Field5"
"All Quiet on the Western Front","https://www.imdb.com/title/tt0020629/?ref_=adv_li_tt","(1930)","136 min","Drama, War","8.0","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","Lewis Milestone","https://www.imdb.com/name/nm0587277/?ref_=adv_li_dr_0","Director:Lewis Milestone                 |     Stars:Lew Ayres, Louis Wolheim, John Wray, Arnold Lucy"
"Battleship Potemkin","https://www.imdb.com/title/tt0015648/?ref_=adv_li_tt","(1925)","66 min","Drama, History, Thriller","8.0","In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.","Sergei M. Eisenstein","https://www.imdb.com/name/nm0001178/?ref_=adv_li_dr_0","Director:Sergei M. Eisenstein                 |     Stars:Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov, Ivan Bobrov"
"Jojo Rabbit","https://www.imdb.com/title/tt2584384/?ref_=adv_li_tt","(2019)","108 min","Comedy, Drama, War","7.9","A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.","Taika Waititi","https://www.imdb.com/name/nm0169806/?ref_=adv_li_dr_0","Director:Taika Waititi                 |     Stars:Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi"
"Letters from Iwo Jima","https://www.imdb.com/title/tt0498380/?ref_=adv_li_tt","(2006)","141 min","Action, Adventure, Drama","7.9","The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","Clint Eastwood","https://www.imdb.com/name/nm0000142/?ref_=adv_li_dr_0","Director:Clint Eastwood                 |     Stars:Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryô Kase"
"No Man's Land","https://www.imdb.com/title/tt0283509/?ref_=adv_li_tt","(I) (2001)","98 min","Comedy, Drama, War","7.9","Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.","Danis Tanovic","https://www.imdb.com/name/nm0849786/?ref_=adv_li_dr_0","Director:Danis Tanovic                 |     Stars:Branko Djuric, Rene Bitorajac, Filip Sovagovic, Georges Siatidis"
"Patton","https://www.imdb.com/title/tt0066206/?ref_=adv_li_tt","(1970)","172 min","Biography, Drama, War","7.9","The World War II phase of the career of controversial American general George S. Patton.","Franklin J. Schaffner","https://www.imdb.com/name/nm0769874/?ref_=adv_li_dr_0","Director:Franklin J. Schaffner                 |     Stars:George C. Scott, Karl Malden, Stephen Young, Michael Strong"
"Spartacus","https://www.imdb.com/title/tt0054331/?ref_=adv_li_tt","(1960)","197 min","Adventure, Biography, Drama","7.9","The slave Spartacus leads a violent revolt against the decadent Roman Republic.","Stanley Kubrick","https://www.imdb.com/name/nm0000040/?ref_=adv_li_dr_0","Director:Stanley Kubrick                 |     Stars:Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton"
"Dunkirk","https://www.imdb.com/title/tt5013056/?ref_=adv_li_tt","(2017)","106 min","Action, Drama, History","7.8","Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.","Christopher Nolan","https://www.imdb.com/name/nm0634240/?ref_=adv_li_dr_0","Director:Christopher Nolan                 |     Stars:Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy"
"Land of Mine","https://www.imdb.com/title/tt3841424/?ref_=adv_li_tt","(2015)","100 min","Drama, History, War","7.8","In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.","Martin Zandvliet","https://www.imdb.com/name/nm1324710/?ref_=adv_li_dr_0","Director:Martin Zandvliet                 |     Stars:Roland Møller, Louis Hofmann, Joel Basman, Mikkel Boe Følsgaard"
"The Wind Rises","https://www.imdb.com/title/tt2013293/?ref_=adv_li_tt","(2013)","126 min","Animation, Biography, Drama","7.8","A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.","Hayao Miyazaki","https://www.imdb.com/name/nm0594503/?ref_=adv_li_dr_0","Director:Hayao Miyazaki                 |     Stars:Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto, Masahiko Nishimura"
"The Boy in the Striped Pajamas","https://www.imdb.com/title/tt0914798/?ref_=adv_li_tt","(2008)","94 min","Drama, History, War","7.8","Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.","Mark Herman","https://www.imdb.com/name/nm0379179/?ref_=adv_li_dr_0","Director:Mark Herman                 |     Stars:Asa Butterfield, David Thewlis, Rupert Friend, Zac Mattoon O'Brien"
"Atonement","https://www.imdb.com/title/tt0783233/?ref_=adv_li_tt","(2007)","123 min","Drama, Mystery, Romance","7.8","Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.","Joe Wright","https://www.imdb.com/name/nm0942504/?ref_=adv_li_dr_0","Director:Joe Wright                 |     Stars:Keira Knightley, James McAvoy, Brenda Blethyn, Saoirse Ronan"
"Joint Security Area","https://www.imdb.com/title/tt0260991/?ref_=adv_li_tt","(2000)","110 min","Action, Drama, Thriller","7.8","After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.","Chan-wook Park","https://www.imdb.com/name/nm0661791/?ref_=adv_li_dr_0","Director:Chan-wook Park                 |     Stars:Lee Yeong-ae, Lee Byung-Hun, Kang-ho Song, Kim Tae-Woo"
"Glory","https://www.imdb.com/title/tt0097441/?ref_=adv_li_tt","(1989)","122 min","Biography, Drama, History","7.8","Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.","Edward Zwick","https://www.imdb.com/name/nm0001880/?ref_=adv_li_dr_0","Director:Edward Zwick                 |     Stars:Matthew Broderick, Denzel Washington, Cary Elwes, Morgan Freeman"
"The Killing Fields","https://www.imdb.com/title/tt0087553/?ref_=adv_li_tt","(1984)","141 min","Biography, Drama, History","7.8","A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.","Roland Joffé","https://www.imdb.com/name/nm0423646/?ref_=adv_li_dr_0","Director:Roland Joffé                 |     Stars:Sam Waterston, Haing S. Ngor, John Malkovich, Julian Sands"
"The Man Who Would Be King","https://www.imdb.com/title/tt0073341/?ref_=adv_li_tt","(1975)","129 min","Adventure, History, War","7.8","Two British former soldiers decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great.","John Huston","https://www.imdb.com/name/nm0001379/?ref_=adv_li_dr_0","Director:John Huston                 |     Stars:Sean Connery, Michael Caine, Christopher Plummer, Saeed Jaffrey"
"The Longest Day","https://www.imdb.com/title/tt0056197/?ref_=adv_li_tt","(1962)","178 min","Action, Drama, History","7.8","The events of D-Day, told on a grand scale from both the Allied and German points of view.","Ken Annakin","https://www.imdb.com/name/nm0002175/?ref_=adv_li_dr_0","Directors:Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck                 |     Stars:John Wayne, Robert Ryan, Richard Burton, Henry Fonda"
"To Have and Have Not","https://www.imdb.com/title/tt0037382/?ref_=adv_li_tt","(1944)","100 min","Adventure, Comedy, Film-Noir","7.8","During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer.","Howard Hawks","https://www.imdb.com/name/nm0001328/?ref_=adv_li_dr_0","Director:Howard Hawks                 |     Stars:Humphrey Bogart, Lauren Bacall, Walter Brennan, Dolores Moran"
"Duck Soup","https://www.imdb.com/title/tt0023969/?ref_=adv_li_tt","(1933)","69 min","Comedy, Musical, War","7.8","Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.","Leo McCarey","https://www.imdb.com/name/nm0564970/?ref_=adv_li_dr_0","Director:Leo McCarey                 |     Stars:Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx"
"Beasts of No Nation","https://www.imdb.com/title/tt1365050/?ref_=adv_li_tt","(2015)","137 min","Drama, War","7.7","A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.","Cary Joji Fukunaga","https://www.imdb.com/name/nm1560977/?ref_=adv_li_dr_0","Director:Cary Joji Fukunaga                 |     Stars:Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote"
"Joyeux Noel","https://www.imdb.com/title/tt0424205/?ref_=adv_li_tt","(2005)","116 min","Drama, History, Music","7.7","In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.","Christian Carion","https://www.imdb.com/name/nm0137228/?ref_=adv_li_dr_0","Director:Christian Carion                 |     Stars:Diane Kruger, Benno Fürmann, Guillaume Canet, Natalie Dessay"
"Black Book","https://www.imdb.com/title/tt0389557/?ref_=adv_li_tt","(2006)","145 min","Drama, Thriller, War","7.7","In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.","Paul Verhoeven","https://www.imdb.com/name/nm0000682/?ref_=adv_li_dr_0","Director:Paul Verhoeven                 |     Stars:Carice van Houten, Sebastian Koch, Thom Hoffman, Halina Reijn"
"Black Hawk Down","https://www.imdb.com/title/tt0265086/?ref_=adv_li_tt","(2001)","142 min","Drama, History, War","7.7","160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.","Ridley Scott","https://www.imdb.com/name/nm0000631/?ref_=adv_li_dr_0","Director:Ridley Scott                 |     Stars:Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana"
"The Last of the Mohicans","https://www.imdb.com/title/tt0104691/?ref_=adv_li_tt","(1992)","112 min","Action, Adventure, Drama","7.7","Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.","Michael Mann","https://www.imdb.com/name/nm0000520/?ref_=adv_li_dr_0","Director:Michael Mann                 |     Stars:Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig"
"Empire of the Sun","https://www.imdb.com/title/tt0092965/?ref_=adv_li_tt","(1987)","153 min","Action, Drama, History","7.7","A young English boy struggles to survive under Japanese occupation of China during World War II.","Steven Spielberg","https://www.imdb.com/name/nm0000229/?ref_=adv_li_dr_0","Director:Steven Spielberg                 |     Stars:Christian Bale, John Malkovich, Miranda Richardson, Nigel Havers"
"Love and Death","https://www.imdb.com/title/tt0073312/?ref_=adv_li_tt","(1975)","85 min","Comedy, War","7.7","In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.","Woody Allen","https://www.imdb.com/name/nm0000095/?ref_=adv_li_dr_0","Director:Woody Allen                 |     Stars:Woody Allen, Diane Keaton, Georges Adet, Frank Adu"
"Where Eagles Dare","https://www.imdb.com/title/tt0065207/?ref_=adv_li_tt","(1968)","158 min","Action, Adventure, War","7.7","Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.","Brian G. Hutton","https://www.imdb.com/name/nm0404606/?ref_=adv_li_dr_0","Director:Brian G. Hutton                 |     Stars:Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark"
"The Dirty Dozen","https://www.imdb.com/title/tt0061578/?ref_=adv_li_tt","(1967)","150 min","Action, Adventure, War","7.7","During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.","Robert Aldrich","https://www.imdb.com/name/nm0000736/?ref_=adv_li_dr_0","Director:Robert Aldrich                 |     Stars:Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavetes"
"Zulu","https://www.imdb.com/title/tt0058777/?ref_=adv_li_tt","(1964)","138 min","Drama, History, War","7.7","Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.","Cy Endfield","https://www.imdb.com/name/nm0256831/?ref_=adv_li_dr_0","Director:Cy Endfield                 |     Stars:Stanley Baker, Jack Hawkins, Ulla Jacobsson, James Booth"
"The African Queen","https://www.imdb.com/title/tt0043265/?ref_=adv_li_tt","(1951)","105 min","Adventure, Drama, Romance","7.7","In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.","John Huston","https://www.imdb.com/name/nm0001379/?ref_=adv_li_dr_0","Director:John Huston                 |     Stars:Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull"
"Fury","https://www.imdb.com/title/tt2713180/?ref_=adv_li_tt","(2014)","134 min","Action, Drama, War","7.6","A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.","David Ayer","https://www.imdb.com/name/nm0043742/?ref_=adv_li_dr_0","Director:David Ayer                 |     Stars:Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña"
"Les Misérables","https://www.imdb.com/title/tt1707386/?ref_=adv_li_tt","(2012)","158 min","Drama, History, Musical","7.6","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.","Tom Hooper","https://www.imdb.com/name/nm0393799/?ref_=adv_li_dr_0","Director:Tom Hooper                 |     Stars:Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried"
"The Flowers of War","https://www.imdb.com/title/tt1410063/?ref_=adv_li_tt","(2011)","146 min","Drama, History, Romance","7.6","An American finds refuge during the 1937 Japanese invasion of Nanking in a church with a group of women. Posing as a priest, he attempts to lead the women to safety.","Yimou Zhang","https://www.imdb.com/name/nm0955443/?ref_=adv_li_dr_0","Director:Yimou Zhang                 |     Stars:Christian Bale, Ni Ni, Xinyi Zhang, Tianyuan Huang"
"The Book Thief","https://www.imdb.com/title/tt0816442/?ref_=adv_li_tt","(2013)","131 min","Drama, War","7.6","While subjected to the horrors of World War II Germany, young Liesel finds solace by stealing books and sharing them with others. In the basement of her home, a Jewish refugee is being protected by her adoptive parents.","Brian Percival","https://www.imdb.com/name/nm1093053/?ref_=adv_li_dr_0","Director:Brian Percival                 |     Stars:Sophie Nélisse, Geoffrey Rush, Emily Watson, Ben Schnetzer"
"The Counterfeiters","https://www.imdb.com/title/tt0813547/?ref_=adv_li_tt","(2007)","99 min","Crime, Drama, History","7.6","The story of the Operation Bernhard, the largest counterfeiting operation in history, carried out by Germany during WWII.","Stefan Ruzowitzky","https://www.imdb.com/name/nm0752328/?ref_=adv_li_dr_0","Director:Stefan Ruzowitzky                 |     Stars:Karl Markovics, August Diehl, Devid Striesow, Martin Brambach"
"Jodhaa Akbar","https://www.imdb.com/title/tt0449994/?ref_=adv_li_tt","(2008)","213 min","Action, Drama, History","7.6","A sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal emperor, Akbar, and a Rajput princess, Jodha.","Ashutosh Gowariker","https://www.imdb.com/name/nm0332950/?ref_=adv_li_dr_0","Director:Ashutosh Gowariker                 |     Stars:Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Poonam Sinha"
"Sophie Scholl: The Final Days","https://www.imdb.com/title/tt0426578/?ref_=adv_li_tt","(2005)","120 min","Biography, Crime, Drama","7.6","A dramatization of the final days of Sophie Scholl, one of the most famous members of the German World War II anti-Nazi resistance movement, The White Rose.","Marc Rothemund","https://www.imdb.com/name/nm0745131/?ref_=adv_li_dr_0","Director:Marc Rothemund                 |     Stars:Julia Jentsch, Fabian Hinrichs, Alexander Held, Johanna Gastdorf"
"A Very Long Engagement","https://www.imdb.com/title/tt0344510/?ref_=adv_li_tt","(2004)","133 min","Drama, Mystery, Romance","7.6","Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.","Jean-Pierre Jeunet","https://www.imdb.com/name/nm0000466/?ref_=adv_li_dr_0","Director:Jean-Pierre Jeunet                 |     Stars:Audrey Tautou, Gaspard Ulliel, Jodie Foster, Dominique Pinon"
"Enemy at the Gates","https://www.imdb.com/title/tt0215750/?ref_=adv_li_tt","(2001)","131 min","Drama, History, War","7.6","A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.","Jean-Jacques Annaud","https://www.imdb.com/name/nm0000269/?ref_=adv_li_dr_0","Director:Jean-Jacques Annaud                 |     Stars:Jude Law, Ed Harris, Joseph Fiennes, Rachel Weisz"
"The Thin Red Line","https://www.imdb.com/title/tt0120863/?ref_=adv_li_tt","(1998)","170 min","Drama, War","7.6","Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.","Terrence Malick","https://www.imdb.com/name/nm0000517/?ref_=adv_li_dr_0","Director:Terrence Malick                 |     Stars:Jim Caviezel, Sean Penn, Nick Nolte, Kirk Acevedo"
"Mulan","https://www.imdb.com/title/tt0120762/?ref_=adv_li_tt","(1998)","88 min","Animation, Adventure, Family","7.6","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","Tony Bancroft","https://www.imdb.com/name/nm0051643/?ref_=adv_li_dr_0","Directors:Tony Bancroft, Barry Cook                 |     Stars:Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer"
"Legends of the Fall","https://www.imdb.com/title/tt0110322/?ref_=adv_li_tt","(1994)","133 min","Drama, Romance, War","7.6","In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war.","Edward Zwick","https://www.imdb.com/name/nm0001880/?ref_=adv_li_dr_0","Director:Edward Zwick                 |     Stars:Brad Pitt, Anthony Hopkins, Aidan Quinn, Julia Ormond"
"Gettysburg","https://www.imdb.com/title/tt0107007/?ref_=adv_li_tt","(1993)","271 min","Drama, History, War","7.6","In 1863, the Northern and Southern forces fight at Gettysburg in the decisive battle of the American Civil War.","Ron Maxwell","https://www.imdb.com/name/nm0561813/?ref_=adv_li_dr_0","Director:Ron Maxwell                 |     Stars:Tom Berenger, Martin Sheen, Stephen Lang, Richard Jordan"
"Hair","https://www.imdb.com/title/tt0079261/?ref_=adv_li_tt","(1979)","121 min","Comedy, Drama, Musical","7.6","Claude Bukowski leaves the family ranch in Oklahoma for New York where he is rapidly embraced into the hippie group of youngsters led by Berger, yet he's already been drafted. He soon falls in love with Sheila Franklin, a rich girl but still a rebel inside.","Milos Forman","https://www.imdb.com/name/nm0001232/?ref_=adv_li_dr_0","Director:Milos Forman                 |     Stars:John Savage, Treat Williams, Beverly D'Angelo, Annie Golden"
"Duck You Sucker","https://www.imdb.com/title/tt0067140/?ref_=adv_li_tt","(1971)","138 min","Drama, War, Western","7.6","A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.","Sergio Leone","https://www.imdb.com/name/nm0001466/?ref_=adv_li_dr_0","Director:Sergio Leone                 |     Stars:Rod Steiger, James Coburn, Romolo Valli, Maria Monti"
"Kelly's Heroes","https://www.imdb.com/title/tt0065938/?ref_=adv_li_tt","(1970)","144 min","Adventure, Comedy, War","7.6","A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure.","Brian G. Hutton","https://www.imdb.com/name/nm0404606/?ref_=adv_li_dr_0","Director:Brian G. Hutton                 |     Stars:Clint Eastwood, Telly Savalas, Don Rickles, Carroll O'Connor"
"From Here to Eternity","https://www.imdb.com/title/tt0045793/?ref_=adv_li_tt","(1953)","118 min","Drama, Romance, War","7.6","In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.","Fred Zinnemann","https://www.imdb.com/name/nm0003593/?ref_=adv_li_dr_0","Director:Fred Zinnemann                 |     Stars:Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed"
"Lifeboat","https://www.imdb.com/title/tt0037017/?ref_=adv_li_tt","(1944)","97 min","Drama, War","7.6","Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the crew members of the U-boat that sank their ship.","Alfred Hitchcock","https://www.imdb.com/name/nm0000033/?ref_=adv_li_dr_0","Director:Alfred Hitchcock                 |     Stars:Tallulah Bankhead, John Hodiak, Walter Slezak, William Bendix"
"Son of Saul","https://www.imdb.com/title/tt3808342/?ref_=adv_li_tt","(2015)","107 min","Drama, War","7.5","A Jewish-Hungarian concentration camp prisoner sets out to give a child he mistook for his son a proper burial.","László Nemes","https://www.imdb.com/name/nm1841577/?ref_=adv_li_dr_0","Director:László Nemes                 |     Stars:Géza Röhrig, Levente Molnár, Urs Rechn, Todd Charmont"
"Lone Survivor","https://www.imdb.com/title/tt1091191/?ref_=adv_li_tt","(2013)","121 min","Action, Biography, Drama","7.5","Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.","Peter Berg","https://www.imdb.com/name/nm0000916/?ref_=adv_li_dr_0","Director:Peter Berg                 |     Stars:Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster"
"The Hurt Locker","https://www.imdb.com/title/tt0887912/?ref_=adv_li_tt","(2008)","131 min","Drama, Thriller, War","7.5","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.","Kathryn Bigelow","https://www.imdb.com/name/nm0000941/?ref_=adv_li_dr_0","Director:Kathryn Bigelow                 |     Stars:Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce"
